Accession,replacedaccession,IDs,Country,Host,Year
KY435460.1_Cayman_Islands,KY435460.1_Cayman_Islands,KY435460.1,Cayman_Islands,Homo_sapiens,2014
KY435461.1_Jamaica,KY435461.1_Jamaica,KY435461.1,Jamaica,Homo_sapiens,2014
KY435462.1_Jamaica,KY435462.1_Jamaica,KY435462.1,Jamaica,Homo_sapiens,2014
KY435463.1_Suriname,KY435463.1_Suriname,KY435463.1,Suriname,Homo_sapiens,2014
KY435464.1_Barbados,KY435464.1_Barbados,KY435464.1,Barbados,Homo_sapiens,2014
KY435465.1_Trinidad_and_Tobago,KY435465.1_Trinidad_and_Tobago,KY435465.1,Trinidad_and_Tobago,Homo_sapiens,2014
KY435466.1_Barbados,KY435466.1_Barbados,KY435466.1,Barbados,Homo_sapiens,2014
KY435467.1_Montserrat,KY435467.1_Montserrat,KY435467.1,Montserrat,Homo_sapiens,2014
KY435468.1_Jamaica,KY435468.1_Jamaica,KY435468.1,Jamaica,Homo_sapiens,2014
KY435469.1_Grenada,KY435469.1_Grenada,KY435469.1,Grenada,Homo_sapiens,2014
KY435470.1_Bahamas,KY435470.1_Bahamas,KY435470.1,Bahamas,Homo_sapiens,2014
KY435471.1_Turks_and_Caicos_Islands,KY435471.1_Turks_and_Caicos_Islands,KY435471.1,Turks_and_Caicos_Islands,Homo_sapiens,2014
KY435472.1_Grenada,KY435472.1_Grenada,KY435472.1,Grenada,Homo_sapiens,2014
KY435473.1_Saint_Lucia,KY435473.1_Saint_Lucia,KY435473.1,Saint_Lucia,Homo_sapiens,2014
KY435474.1_Saint_Lucia,KY435474.1_Saint_Lucia,KY435474.1,Saint_Lucia,Homo_sapiens,2014
KY435475.1_Saint_Vincent_and_the_Grenadines,KY435475.1_Saint_Vincent_and_the_Grenadines,KY435475.1,Saint_Vincent_and_the_Grenadines,Homo_sapiens,2014
KY435476.1_Turks_and_Caicos_Islands,KY435476.1_Turks_and_Caicos_Islands,KY435476.1,Turks_and_Caicos_Islands,Homo_sapiens,2014
KY435477.1_Guyana,KY435477.1_Guyana,KY435477.1,Guyana,Homo_sapiens,2014
KY435478.1_Guyana,KY435478.1_Guyana,KY435478.1,Guyana,Homo_sapiens,2014
KY435479.1_Antigua_and_Barbuda,KY435479.1_Antigua_and_Barbuda,KY435479.1,Antigua_and_Barbuda,Homo_sapiens,2014
KY435480.1_Haiti,KY435480.1_Haiti,KY435480.1,Haiti,Homo_sapiens,2014
KY435481.1_Saint_Lucia,KY435481.1_Saint_Lucia,KY435481.1,Saint_Lucia,Homo_sapiens,2014
KY435482.1_Saint_Kitts_and_Nevis,KY435482.1_Saint_Kitts_and_Nevis,KY435482.1,Saint_Kitts_and_Nevis,Homo_sapiens,2014
KY435483.1_Anguilla,KY435483.1_Anguilla,KY435483.1,Anguilla,Homo_sapiens,2014
KY435484.1_Dominica,KY435484.1_Dominica,KY435484.1,Dominica,Homo_sapiens,2014
KY435485.1_Dominica,KY435485.1_Dominica,KY435485.1,Dominica,Homo_sapiens,2014
KY435486.1_British_Virgin_Islands,KY435486.1_British_Virgin_Islands,KY435486.1,British_Virgin_Islands,Homo_sapiens,2014
KY575565.1_USA,KY575565.1_USA,KY575565.1,USA,Homo_sapiens,2014
KY575566.1_USA,KY575566.1_USA,KY575566.1,USA,Homo_sapiens,2014
KY575569.1_USA,KY575569.1_USA,KY575569.1,USA,Homo_sapiens,2014
KY575572.1_USA,KY575572.1_USA,KY575572.1,USA,Homo_sapiens,2014
KY575573.1_USA,KY575573.1_USA,KY575573.1,USA,Homo_sapiens,2014
KY680347.1_USA,KY680347.1_USA,KY680347.1,USA,Homo_sapiens,2014
KY680348.1_USA,KY680348.1_USA,KY680348.1,USA,Homo_sapiens,2014
KY680349.1_USA,KY680349.1_USA,KY680349.1,USA,Homo_sapiens,2014
KY680350.1_USA,KY680350.1_USA,KY680350.1,USA,Homo_sapiens,2014
KY680351.1_USA,KY680351.1_USA,KY680351.1,USA,Homo_sapiens,2014
KY680352.1_USA,KY680352.1_USA,KY680352.1,USA,Homo_sapiens,2014
KY680353.1_USA,KY680353.1_USA,KY680353.1,USA,Homo_sapiens,2014
KY680354.1_USA,KY680354.1_USA,KY680354.1,USA,Homo_sapiens,2014
KY680355.1_USA,KY680355.1_USA,KY680355.1,USA,Homo_sapiens,2014
KY680356.1_USA,KY680356.1_USA,KY680356.1,USA,Homo_sapiens,2014
KY680357.1_USA,KY680357.1_USA,KY680357.1,USA,Homo_sapiens,2014
KY680358.1_USA,KY680358.1_USA,KY680358.1,USA,Homo_sapiens,2014
KY680359.1_USA,KY680359.1_USA,KY680359.1,USA,Homo_sapiens,2014
KY680360.1_USA,KY680360.1_USA,KY680360.1,USA,Homo_sapiens,2014
KY680361.1_USA,KY680361.1_USA,KY680361.1,USA,Homo_sapiens,2014
KY680362.1_USA,KY680362.1_USA,KY680362.1,USA,Homo_sapiens,2014
KY680363.1_USA,KY680363.1_USA,KY680363.1,USA,Homo_sapiens,2014
KY680364.1_USA,KY680364.1_USA,KY680364.1,USA,Homo_sapiens,2014
KY680366.1_USA,KY680366.1_USA,KY680366.1,USA,Homo_sapiens,2015
KY680367.1_USA,KY680367.1_USA,KY680367.1,USA,Homo_sapiens,2014
KY680368.1_USA,KY680368.1_USA,KY680368.1,USA,Homo_sapiens,2014
KY680369.1_USA,KY680369.1_USA,KY680369.1,USA,Homo_sapiens,2014
KY680370.1_USA,KY680370.1_USA,KY680370.1,USA,Homo_sapiens,2014
KY680371.1_USA,KY680371.1_USA,KY680371.1,USA,Homo_sapiens,2014
KY680372.1_USA,KY680372.1_USA,KY680372.1,USA,Homo_sapiens,2014
KY680373.1_USA,KY680373.1_USA,KY680373.1,USA,Homo_sapiens,2014
KY680374.1_USA,KY680374.1_USA,KY680374.1,USA,Homo_sapiens,2014
KY680375.1_USA,KY680375.1_USA,KY680375.1,USA,Homo_sapiens,2014
KY680376.1_USA,KY680376.1_USA,KY680376.1,USA,Homo_sapiens,2014
KY680377.1_USA,KY680377.1_USA,KY680377.1,USA,Homo_sapiens,2014
KY680378.1_USA,KY680378.1_USA,KY680378.1,USA,Homo_sapiens,2014
KY680379.1_USA,KY680379.1_USA,KY680379.1,USA,Homo_sapiens,2014
KY680380.1_USA,KY680380.1_USA,KY680380.1,USA,Homo_sapiens,2014
KY680381.1_USA,KY680381.1_USA,KY680381.1,USA,Homo_sapiens,2014
KY680382.1_USA,KY680382.1_USA,KY680382.1,USA,Homo_sapiens,2014
KY680383.1_USA,KY680383.1_USA,KY680383.1,USA,Homo_sapiens,2014
KY680384.1_USA,KY680384.1_USA,KY680384.1,USA,Homo_sapiens,2014
KY680385.1_USA,KY680385.1_USA,KY680385.1,USA,Homo_sapiens,2014
KY680386.1_USA,KY680386.1_USA,KY680386.1,USA,Homo_sapiens,2014
KY680387.1_USA,KY680387.1_USA,KY680387.1,USA,Homo_sapiens,2014
KY680388.1_USA,KY680388.1_USA,KY680388.1,USA,Homo_sapiens,2014
KY680389.1_USA,KY680389.1_USA,KY680389.1,USA,Homo_sapiens,2015
KY680390.1_USA,KY680390.1_USA,KY680390.1,USA,Homo_sapiens,2014
KY680391.1_USA,KY680391.1_USA,KY680391.1,USA,Homo_sapiens,2014
KY680392.1_USA,KY680392.1_USA,KY680392.1,USA,Homo_sapiens,2014
KY680393.1_USA,KY680393.1_USA,KY680393.1,USA,Homo_sapiens,2014
KY680394.1_USA,KY680394.1_USA,KY680394.1,USA,Homo_sapiens,2014
KY680395.1_USA,KY680395.1_USA,KY680395.1,USA,Homo_sapiens,2014
KY680396.1_USA,KY680396.1_USA,KY680396.1,USA,Homo_sapiens,2014
KY680397.1_USA,KY680397.1_USA,KY680397.1,USA,Homo_sapiens,2014
KY680398.1_USA,KY680398.1_USA,KY680398.1,USA,Homo_sapiens,2014
